Species,Year,Quarter,Length,Sexo,PesoMgayi,BodyWeight,Preyweight,ISU
Lamarillo,96,3,43,1,525.6828838,508.04973,0.04,9.449455161
Lamarillo,96,3,43,1,525.6828838,508.04973,0.03,9.737137234
Lamarillo,96,3,43,1,525.6828838,508.04973,0.24,7.657695692
Lamarillo,96,3,43,1,525.6828838,508.04973,7.55,4.209031773
Lamarillo,96,3,43,1,525.6828838,508.04973,0.01,10.83574952
Lamarillo,96,3,43,1,525.6828838,508.04973,0.27,7.539912656
Lamarillo,96,3,43,1,525.6828838,508.04973,8.86,4.049032572
Lamarillo,96,3,43,1,525.6828838,508.04973,15.47,3.491676672
Lamarillo,96,3,43,1,525.6828838,508.04973,17.99,3.340763289
Lamarillo,96,3,43,1,525.6828838,508.04973,14.86,3.531906297
Lamarillo,96,3,43,1,525.6828838,508.04973,0.05,9.22631161
Lamarillo,96,3,43,1,525.6828838,508.04973,24.19,3.044640012
Lamarillo,96,3,43,1,525.6828838,508.04973,8.53,4.086989975
Lamarillo,96,3,43,1,525.6828838,508.04973,0.91,6.324890016
Lamarillo,96,3,43,1,525.6828838,508.04973,10.81,3.850107705
Lamarillo,96,3,43,1,525.6828838,508.04973,3.16,5.080007309
Lamarillo,96,3,43,2,598.0445871,605.04827,5.24,4.748986742
Lamarillo,96,3,43,2,598.0445871,605.04827,780,2.048599413
Lamarillo,96,3,43,2,598.0445871,605.04827,5.41,4.717059147
Lamarillo,96,3,43,2,598.0445871,605.04827,4.1,4.994321266
Lamarillo,96,3,43,2,598.0445871,605.04827,16.27,3.615985319
Lamarillo,96,3,43,2,598.0445871,605.04827,13.35,3.813791855
Lamarillo,96,3,43,2,598.0445871,605.04827,22.19,3.305666503
Lamarillo,96,3,43,2,598.0445871,605.04827,14.78,3.712033324
Lamarillo,96,3,43,2,598.0445871,605.04827,0.81,6.616029271
Lamarillo,96,3,43,2,598.0445871,605.04827,13.78,3.782089974
Lamarillo,96,3,43,2,598.0445871,605.04827,15.53,3.662534603
Lamarillo,96,3,43,2,598.0445871,605.04827,0.05,9.401040514
Lamarillo,96,3,43,2,598.0445871,605.04827,12.37,3.890034054
Lamarillo,96,3,43,2,598.0445871,605.04827,11.08,4.000166559
Lamarillo,96,3,43,2,598.0445871,605.04827,17.48,3.54425087
Lamarillo,96,3,43,2,598.0445871,605.04827,13.9,3.7734194
Lamarillo,96,3,43,2,598.0445871,605.04827,16.92,3.576811886
Lamarillo,96,3,43,2,598.0445871,605.04827,15.46,3.667052197
Lamarillo,96,3,43,2,598.0445871,605.04827,17.96,3.517161177
Lamarillo,96,3,43,2,598.0445871,605.04827,15.77,3.647198839
Lamarillo,96,3,43,2,598.0445871,605.04827,20.27,3.39616628
Lamarillo,96,3,43,2,598.0445871,605.04827,17.42,3.547689269
Lamarillo,96,3,43,2,598.0445871,605.04827,16.09,3.627110279
Lamarillo,96,3,43,2,598.0445871,605.04827,11.23,3.986719471
Lamarillo,96,3,43,2,598.0445871,605.04827,15.31,3.67680203
Lamarillo,96,3,43,2,598.0445871,605.04827,12.86,3.851186521
Lamarillo,96,3,43,2,598.0445871,605.04827,14.39,3.738774719
Lamarillo,96,3,44,1,561.7954727,544.32576,0.43,7.143517961
Lamarillo,96,3,44,1,561.7954727,544.32576,16.97,3.468100812
Lamarillo,96,3,44,1,561.7954727,544.32576,0.11,8.506822804
Lamarillo,96,3,44,1,561.7954727,544.32576,2.66,5.321221768
Lamarillo,96,3,44,1,561.7954727,544.32576,1.7,5.76891964
Lamarillo,96,3,44,1,561.7954727,544.32576,2.17,5.524820724
Lamarillo,96,3,44,1,561.7954727,544.32576,12.43,3.779434986
Lamarillo,96,3,44,1,561.7954727,544.32576,9.21,4.079258041
Lamarillo,96,3,44,2,636.9279823,648.25024,0.11,8.681551708
Lamarillo,96,3,44,2,636.9279823,648.25024,0.28,7.74724247
